iter	RMSE
148	4.981628805
149	4.977727706
150	4.973250311
151	4.967897288
152	4.965172716
153	4.960464856
154	4.957846605
155	4.950471707
156	4.948281435
157	4.945845919
158	4.942687801
159	4.936371778
160	4.932997137
161	4.930088784
162	4.9264036
163	4.920666813
164	4.914813033
165	4.910919277
166	4.908991229
167	4.905774987
168	4.902175625
169	4.898445464
170	4.895225292
171	4.891392578
172	4.887091117
173	4.882320205
174	4.879937516
175	4.875764499
176	4.873455695
177	4.868601208
178	4.866805635
179	4.863113215
180	4.856825262
181	4.854128567
182	4.851375138
183	4.846182739
184	4.843185281
185	4.840732906
186	4.838068588
187	4.834151571
188	4.830436752
189	4.826293515
190	4.822345136
191	4.818408627
192	4.811965573
193	4.807792531
194	4.807117731
195	4.805816082
196	4.801037908
197	4.795488218
198	4.790549538
199	4.787996353
200	4.783819235
201	4.779573188
202	4.775897074
203	4.771071283
204	4.766000499
205	4.764782295
206	4.760335719
207	4.758350316
208	4.756959035
209	4.753784875
210	4.75001411
211	4.747973501
212	4.743274313
213	4.739500277
214	4.738120253
215	4.735735851
216	4.733720188
217	4.730939733
218	4.72792411
219	4.724320957
220	4.721512231
221	4.716401341
222	4.714525544
223	4.708444371
224	4.705964883
225	4.704161635
226	4.697552735
227	4.693155927
228	4.690513403
229	4.684980202
230	4.681311402
231	4.679546008
232	4.673708763
233	4.67004896
234	4.668109434
235	4.663868778
236	4.661719116
237	4.654934765
238	4.651444777
239	4.648727137
240	4.645100262
241	4.64394513
242	4.641119702
243	4.637168471
244	4.631637686
245	4.629805196
246	4.624426651
247	4.622210958
248	4.615829529
249	4.610850795
250	4.60709125
251	4.606039243
252	4.603975261
253	4.600864763
254	4.597978532
255	4.596636868
256	4.589912861
257	4.588566674
258	4.584955839
259	4.583296993
260	4.57985
261	4.576097478
262	4.57324602
263	4.570277368
264	4.56799511
265	4.564432072
266	4.561584306
267	4.559426198
268	4.559150295
269	4.552532737
270	4.54815298
271	4.545948756
272	4.540563915
273	4.535873704
274	4.53155743
275	4.529283457
276	4.523286587
277	4.517669216
278	4.515173415
279	4.512281381
280	4.509713477
281	4.507793542
282	4.506238294
283	4.501422895
284	4.495725074
285	4.492177206
286	4.489910981
287	4.488062266
288	4.483027108
289	4.479831526
290	4.478231975
291	4.476036694
292	4.474118211
293	4.470578081
294	4.468669266
295	4.465627897
296	4.462642932
297	4.46017348
298	4.456765004
299	4.45417244
300	4.450518278
301	4.44856414
302	4.446594537
303	4.44369541
304	4.436702441
305	4.431114694
306	4.426996742
307	4.424921592
308	4.42433223
309	4.418736287
310	4.412069439
311	4.40941133
312	4.405895748
313	4.405753018
314	4.403751753
315	4.40125551
316	4.399733609
317	4.394543532
318	4.390722225
319	4.387843844
320	4.382253851
321	4.378891119
322	4.375389019
323	4.370959458
324	4.369025096
325	4.364922414
326	4.362674447
327	4.360135177
328	4.356198225
329	4.352593141
330	4.348347881
331	4.346898207
332	4.341856307
333	4.336737279
334	4.331487385
335	4.329625454
336	4.325607147
337	4.324191095
338	4.320410366
339	4.31487387
340	4.311598311
341	4.307205653
342	4.303474662
343	4.300084771
344	4.298372853
345	4.295650555
346	4.293154077
347	4.291406523
348	4.287807612
349	4.285720952
350	4.284573261
351	4.282857756
352	4.281754889
353	4.277705195
354	4.275162218
355	4.271107976
356	4.266625649
357	4.265097805
358	4.260343453
359	4.256229084
360	4.254330258
361	4.253995805
362	4.250771573
363	4.248762325
364	4.245189323
365	4.243351017
366	4.242099924
367	4.23839425
368	4.234255994
369	4.232493055
370	4.229935989
371	4.228850538
372	4.225723622
373	4.223489895
374	4.220100443
375	4.218943022
376	4.21499193
377	4.213452859
378	4.208667337
379	4.206162815
380	4.205969204
381	4.203308269
382	4.201953479
383	4.197725154
384	4.193415114
385	4.18989984
386	4.188067512
387	4.184115331
388	4.182988053
389	4.182779233
390	4.179933972
391	4.178739315
392	4.178575751
393	4.176992236
394	4.174300433
395	4.170819372
396	4.167286004
397	4.165210474
398	4.161701094
399	4.161549797
400	4.161074178
401	4.15659343
402	4.15312415
403	4.152411656
404	4.151933824
405	4.15008973
406	4.146775725
407	4.144134777
408	4.143132638
409	4.140551001
410	4.136953013
411	4.133734516
412	4.130092978
413	4.127135805
414	4.125101841
415	4.121667688
416	4.116567564
417	4.116435078
418	4.112836109
419	4.11138109
420	4.10800008
421	4.10583292
422	4.104351985
423	4.102192704
424	4.099445295
425	4.095850193
426	4.092437906
427	4.089408946
428	4.087844683
429	4.085318173
430	4.082229271
431	4.082065874
432	4.079849571
433	4.078731881
434	4.078597762
435	4.076533025
436	4.074962701
437	4.072352972
438	4.069737156
439	4.063245157
440	4.058901956
441	4.056112542
442	4.054846143
443	4.051751484
444	4.050723385
445	4.049213
446	4.046028753
447	4.043822294
448	4.040377213
449	4.040247847
450	4.034960112
451	4.033048928
452	4.029365842
453	4.028447456
454	4.02525498
455	4.023605917
456	4.019389076
457	4.019028305
458	4.016306554
459	4.014462468
460	4.013732354
461	4.009071987
462	4.008912774
463	4.00598727
464	4.004285274
465	4.002058288
466	4.00000384
467	3.997177548
468	3.995328922
469	3.991798476
470	3.989305242
471	3.986534976
472	3.985305723
473	3.983645789
474	3.97946319
475	3.976722725
476	3.975028818
477	3.971606567
478	3.967030281
479	3.963275589
480	3.959358244
481	3.959238055
482	3.957839175
483	3.955960567
484	3.954637015
485	3.949374825
486	3.948190192
487	3.944641272
488	3.942479775
489	3.941130354
490	3.938787576
491	3.935110078
492	3.932019448
493	3.930904923
494	3.927342839
495	3.923237508
496	3.921262442
497	3.920170961
498	3.914882577
499	3.912721134
500	3.909609842
501	3.906671588
502	3.904473629
503	3.900291662
504	3.898383132
505	3.895875109
506	3.89188003
507	3.88923737
508	3.886293711
509	3.88411593
510	3.883446186
511	3.880384882
512	3.878642657
513	3.876587779
514	3.873779081
515	3.871822967
516	3.868872013
517	3.867386473
518	3.866241058
519	3.862931961
520	3.861242606
521	3.860543968
522	3.857798398
523	3.855858141
524	3.853170323
525	3.84997509
526	3.848505438
527	3.84639039
528	3.845305273
529	3.843617073
530	3.840981294
531	3.840608809
532	3.836420586
533	3.830635407
534	3.826915415
535	3.825409087
536	3.823642652
537	3.821789745
538	3.820655105
539	3.820503203
540	3.818120336
541	3.815116799
542	3.811667153
543	3.809255388
544	3.807182511
545	3.804990946
546	3.800721493
547	3.798322275
548	3.796536979
549	3.795018185
550	3.792695591
551	3.791187484
552	3.789552647
553	3.788550136
554	3.783516813
555	3.781585335
556	3.779052275
557	3.777468921
558	3.775782898
559	3.774275609
560	3.773145877
561	3.769128433
562	3.76841817
563	3.76718032
564	3.765273692
565	3.76307453
566	3.762470819
567	3.760536496
568	3.758048945
569	3.753051888
570	3.751540663
571	3.748514292
572	3.747081689
573	3.744898328
574	3.742934625
575	3.738580231
576	3.735145185
577	3.734357802
578	3.733259375
579	3.730699709
580	3.729202287
581	3.727816695
582	3.725801855
583	3.724999086
584	3.724936136
585	3.722348201
586	3.718729178
587	3.717692578
588	3.715425178
589	3.711968554
590	3.710534358
591	3.70843355
592	3.708123671
593	3.70685799
594	3.705097507
595	3.704017225
596	3.702445173
597	3.701594474
598	3.700167224
599	3.698958188
600	3.697000581
601	3.694991548
602	3.690711271
603	3.687919971
604	3.686489886
605	3.685000047
606	3.679633331
607	3.677742149
608	3.676523994
609	3.674846478
610	3.674112895
611	3.673609135
612	3.672628626
613	3.66889649
614	3.668487486
615	3.666489361
616	3.662214991
617	3.657873206
618	3.657509473
619	3.653457091
620	3.652452922
621	3.648700561
622	3.646653114
623	3.64499482
624	3.643235899
625	3.640261678
626	3.638868322
627	3.636884416
628	3.634400941
629	3.632607205
630	3.630606847
631	3.62836405
632	3.626109287
633	3.624705134
634	3.62159795
635	3.619098022
636	3.616398798
637	3.614798682
638	3.610615854
639	3.607139657
640	3.603994477
641	3.602670405
642	3.60117592
643	3.598319407
644	3.597001161
645	3.593938908
646	3.589842982
647	3.588986038
648	3.586306903
649	3.585358286
650	3.581103854
651	3.577159332
652	3.575434042
653	3.573826653
654	3.571970672
655	3.569873453
656	3.567678047
657	3.566981964
658	3.565523842
659	3.564164874
660	3.562125477
661	3.561966596
662	3.560171003
663	3.558774018
664	3.558065717
665	3.553925116
666	3.55355615
667	3.550677091
668	3.549270534
669	3.545368484
670	3.543849204
671	3.543154289
672	3.54183579
673	3.540606767
674	3.539122691
675	3.537869425
676	3.53671493
677	3.533904875
678	3.531775003
679	3.529383185
680	3.525803851
681	3.524357364
682	3.523125531
683	3.519571144
684	3.518899071
685	3.515438328
686	3.514427959
687	3.5128557
688	3.510059543
689	3.506685663
690	3.506234484
691	3.503535647
692	3.502910657
693	3.502160901
694	3.499592114
695	3.496754581
696	3.494692073
697	3.49040224
698	3.487199047
699	3.485951625
700	3.485790541
701	3.482875151
702	3.481593629
703	3.476646855
704	3.474854509
705	3.473879839
706	3.470585583
707	3.4700904
708	3.468776479
709	3.468227692
710	3.46567405
711	3.464542622
712	3.460885389
713	3.459708281
714	3.457552487
715	3.454952483
716	3.454418937
717	3.453198248
718	3.452055173
719	3.451388129
720	3.449629
721	3.447678779
722	3.445609096
723	3.443894236
724	3.443689684
725	3.441534226
726	3.440357325
727	3.439133725
728	3.43536829
729	3.430550096
730	3.428575799
731	3.427335274
732	3.425458196
733	3.424406476
734	3.423408396
735	3.422657526
736	3.422030814
737	3.421136382
738	3.420526526
739	3.419437426
740	3.41764535
741	3.416970847
742	3.41490632
743	3.413773993
744	3.412029963
745	3.41001664
746	3.406362149
747	3.402549846
748	3.401923481
749	3.400921356
750	3.398149383
751	3.39783366
752	3.395483097
753	3.39538305
754	3.394406807
755	3.392684473
756	3.39155584
757	3.390069651
758	3.388280319
759	3.387135234
760	3.383674815
761	3.38087013
762	3.378677431
763	3.376079978
764	3.372051696
765	3.371088943
766	3.369677834
767	3.369000538
768	3.366699143
769	3.363565928
770	3.361015912
771	3.35769381
772	3.356457167
773	3.355405283
774	3.35454021
775	3.352982406
776	3.352235457
777	3.351675475
778	3.348903483
779	3.347956375
780	3.346363508
781	3.34607862
782	3.344982521
783	3.344095945
784	3.342659996
785	3.341990228
786	3.341376334
787	3.340570842
788	3.339297608
789	3.33831439
790	3.337772478
791	3.336502742
792	3.335958892
793	3.33467438
794	3.334078737
795	3.333129667
796	3.331976361
797	3.329882088
798	3.329764012
799	3.329651209
800	3.329139937
801	3.327771724
802	3.326740813
803	3.325708679
804	3.324645984
805	3.324222057
806	3.32265743
807	3.319498872
808	3.317430686
809	3.313930408
810	3.310400265
811	3.308481535
812	3.306335981
813	3.304953676
814	3.301713642
815	3.299145978
816	3.29786237
817	3.2966505
818	3.29589538
819	3.295063346
820	3.293214764
821	3.292632815
822	3.292143855
823	3.291392422
824	3.290507629
825	3.289755614
826	3.286543275
827	3.284560422
828	3.283435563
829	3.281821826
830	3.280702713
831	3.279006741
832	3.277941013
833	3.277546645
834	3.274839532
835	3.270790538
836	3.267492951
837	3.266833289
838	3.265859012
839	3.262869707
840	3.261379091
841	3.260919853
842	3.260230945
843	3.25830614
844	3.255556705
845	3.25525399
846	3.253419179
847	3.25265853
848	3.252215324
849	3.250796016
850	3.246384074
851	3.242232865
852	3.239362593
853	3.237459092
854	3.235986478
855	3.232248802
856	3.231362395
857	3.228928423
858	3.227071262
859	3.226482428
860	3.225660397
861	3.223383488
862	3.221838949
863	3.220029483
864	3.219349076
865	3.218591003
866	3.215057258
867	3.213896892
868	3.210904052
869	3.210243989
870	3.209496553
871	3.20751085
872	3.206220007
873	3.204199582
874	3.200921412
875	3.200503173
876	3.198851868
877	3.196349127
878	3.194093528
879	3.192962746
880	3.192446654
881	3.189907885
882	3.186845008
883	3.183530725
884	3.182073797
885	3.180054464
886	3.178554803
887	3.178199799
888	3.17635388
889	3.174543371
890	3.170557409
891	3.169614916
892	3.166804912
893	3.163727526
894	3.161932076
895	3.158699254
896	3.157731634
897	3.156973507
898	3.154392223
899	3.153723627
900	3.152655917
901	3.152008391
902	3.15094439
903	3.150415615
904	3.148492224
905	3.145958801
906	3.14260519
907	3.141981395
908	3.141106627
909	3.140800353
910	3.139819698
911	3.138949547
912	3.136324504
913	3.134756849
914	3.13385985
915	3.131587348
916	3.129488767
917	3.128015907
918	3.126707925
919	3.123264606
920	3.121971413
921	3.118788981
922	3.11700229
923	3.113519039
924	3.11280443
925	3.110628797
926	3.109281335
927	3.105813144
928	3.104204214
929	3.103415937
930	3.099644241
931	3.096529847
932	3.093149475
933	3.090598179
934	3.0896968
935	3.087134559
936	3.086842043
937	3.085461282
938	3.082902033
939	3.081540795
940	3.079890949
941	3.079029185
942	3.077636873
943	3.0768129
944	3.07589533
945	3.074583879
946	3.073999886
947	3.073166782
948	3.071467331
949	3.069937777
950	3.06954329
951	3.068942193
952	3.067283743
953	3.064349522
954	3.061048911
955	3.057466703
956	3.055348586
957	3.055247977
958	3.052912931
959	3.051063065
960	3.048310121
961	3.045583809
962	3.04491074
963	3.043158674
964	3.042348753
965	3.041797277
966	3.04002627
967	3.038671975
968	3.037754001
969	3.036229808
970	3.035214343
971	3.032270088
972	3.031181316
973	3.029095899
974	3.027618449
975	3.02674693
976	3.024999669
977	3.023908394
978	3.022522288
979	3.021291584
980	3.020573958
981	3.01951723
982	3.018461119
983	3.017811198
984	3.016784789
985	3.016265307
986	3.015898387
987	3.013423582
988	3.011896884
989	3.011409197
990	3.01112062
991	3.010430303
992	3.009296163
993	3.006815863
994	3.005268943
995	3.003996849
996	3.001581625
997	2.998794465
998	2.99722714
999	2.993462031
